  EEP                isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  217         3.1600000000000244E+008         4.2063734146347759E-001         4.2063641112106148E-001         3.5483910608264990E+000         4.8920114358037727E+000        -1.6828744859112659E+000         1.7000000000000001E-001            0.236820           14.862587           13.560656           11.889303           10.613465            9.148219            7.522306            6.725559            6.446750           10.615685           12.621273           11.798371           13.879562           12.140212           10.579094           12.156166            9.418549           10.575654           12.109858           12.155794            9.394996            9.311264           10.594753           12.129411            9.394136            0.000000
  218         3.1600000000000244E+008         4.5434310057280036E-001         4.5434205685686541E-001         3.5565230271235961E+000         4.8641394376632814E+000        -1.5891917274645733E+000         1.7000000000000001E-001            0.236707           14.543367           13.206183           11.534058           10.293380            8.893099            7.314877            6.507975            6.233203           10.323703           12.272551           11.462833           13.540679           11.781037           10.299178           11.801760            9.158108           10.292921           11.755638           11.802057            9.134920            9.058479           10.312078           11.774651            9.134431            0.000000
  219         3.1600000000000244E+008         4.8772803006314130E-001         4.8772686540864535E-001         3.5637494286887708E+000         4.8342679063465415E+000        -1.4989477245565401E+000         1.7000000000000001E-001            0.236588           14.253387           12.878838           11.204080            9.992897            8.651685            7.113674            6.296200            6.025958           10.048105           11.950191           11.149101           13.228594           11.447546           10.034092           11.472410            8.910930           10.025462           11.426457           11.473341            8.888056            8.817930           10.044666           11.444979            8.887970            0.000000
  220         3.1600000000000244E+008         5.1031467296347521E-001         5.1031341367103167E-001         3.5689277922997364E+000         4.8132622625614747E+000        -1.4379666843216272E+000         1.7000000000000001E-001            0.236500           14.056932           12.655132           10.979066            9.788245            8.489004            6.978493            6.153261            5.887074            9.860649           11.731143           10.935056           13.015848           11.219922            9.853924           11.247833            8.743723            9.843681           11.202006           11.249222            8.721067            8.655306            9.862919           11.220188            8.721296            0.000000
  221         3.1600000000000244E+008         5.3208145811060459E-001         5.3208010394856864E-001         3.5739265424999953E+000         4.7931292200726139E+000        -1.3792831086722208E+000         1.7000000000000001E-001            0.236410           13.867167           12.440469           10.765059            9.593320            8.333212            6.847860            6.015362            5.753879            9.681239           11.522556           10.731036           12.811033           11.003245            9.681202           11.034299            8.583389            9.669498           10.988601           11.036114            8.560934            8.499169            9.688772           11.006476            8.561476            0.000000
  222         3.1600000000000244E+008         5.5375418880412941E-001         5.5375272581667112E-001         3.5793664987414724E+000         4.7729815381689296E+000        -1.3203340277730671E+000         1.7000000000000001E-001            0.236325           13.673321           12.220182           10.547383            9.395403            8.176942            6.717391            5.877264            5.621820            9.499189           11.310975           10.523367           12.600956           10.782509            9.506077           10.817154            8.421746            9.492896           10.771603           10.819418            8.399498            8.341857            9.512207           10.789160            8.400408            0.000000
  223         3.1600000000000244E+008         5.7533491871753673E-001         5.7533334124402635E-001         3.5848878981256291E+000         4.7529616101507548E+000        -1.2614239293326368E+000         1.7000000000000001E-001            0.236238           13.480999           12.000316           10.331264            9.198192            8.021911            6.586961            5.739116            5.490616            9.317434           11.101677           10.316480           12.391455           10.563156            9.331071           10.601552            8.260636            9.316503           10.556154           10.604265            8.238591            8.184943            9.335849           10.573393            8.239916            0.000000
  224         3.1600000000000244E+008         5.9090104113816533E-001         5.9089937414878324E-001         3.5892450609154345E+000         4.7390805801558811E+000        -1.2183456196526425E+000         1.7000000000000001E-001            0.236179           13.337045           11.835562           10.170510            9.051908            7.908604            6.492310            5.639144            5.396391            9.182815           10.946144           10.162533           12.234598           10.399733            9.201589           10.441219            8.142238            9.185991           10.395948           10.444281            8.120347            8.069724            9.205364           10.412943            8.122020            0.000000
  225         3.1600000000000244E+008         6.0327928196978942E-001         6.0327753623927871E-001         3.5930797787339381E+000         4.7286722010144508E+000        -1.1837069555579132E+000         1.7000000000000001E-001            0.236134           13.216702           11.698582           10.037983            8.932001            7.817239            6.416996            5.560096            5.322421            9.072701           10.817636           10.035749           12.104156           10.264754            9.095846           10.309099            8.046289            9.079388           10.263943           10.312458            8.024530            7.976477            9.098787           10.280733            8.026514            0.000000
  226         3.1600000000000244E+008         6.1585835759912722E-001         6.1585652842115046E-001         3.5969789678452484E+000         4.7180968088613504E+000        -1.1484969878121805E+000         1.7000000000000001E-001            0.236089           13.092026           11.559130            9.904102            8.811032            7.724528            6.340237            5.480453            5.247891            8.961130           10.686863            9.907566           11.970783           10.128271            8.988559           10.175696            7.948931            8.971263           10.130665           10.179352            7.927300            7.881759            8.990694           10.147261            7.929600            0.000000
  227         3.1600000000000244E+008         6.2775304213099092E-001         6.2775113061422416E-001         3.6006604170823362E+000         4.7080918061054131E+000        -1.1152251785138962E+000         1.7000000000000001E-001            0.236044           12.971196           11.427010            9.778303            8.697668            7.636941            6.267499            5.406072            5.178178            8.856055           10.562750            9.787098           11.843735            9.999904            8.887373           10.050430            7.857054            8.869319           10.005524           10.054360            7.835540            7.792278            8.888784           10.021954            7.838130            0.000000
  228         3.1600000000000244E+008         6.3750861365755895E-001         6.3750663079155490E-001         3.6039941173283849E+000         4.7009922751789848E+000        -1.0881083492279793E+000         1.7000000000000001E-001            0.236012           12.865976           11.314344            9.672316            8.603164            7.564975            6.208978            5.347353            5.123451            8.768545           10.457157            9.685904           11.735020            9.891490            8.803250            9.944999            7.781295            8.784537            9.900212            9.949169            7.759883            7.718613            8.804037            9.916504            7.762728            0.000000
  229         3.1600000000000244E+008         6.4627957433561656E-001         6.4627752343318556E-001         3.6074306841473569E+000         4.6957833281009318E+000        -1.0634380271111612E+000         1.7000000000000001E-001            0.235985           12.763676           11.206051            9.571914            8.514513            7.499046            6.156605            5.295797            5.075949            8.686629           10.356621            9.590227           11.630369            9.788461            8.724689            9.845222            7.711350            8.705333            9.800564            9.849636            7.690038            7.650745            8.724871            9.816725            7.693151            0.000000
  230         3.1600000000000244E+008         6.5465612084892000E-001         6.5465400237779725E-001         3.6107071366790544E+000         4.6907862541521590E+000        -1.0398762895982712E+000         1.7000000000000001E-001            0.235961           12.664444           11.102584            9.476862            8.430619            7.436265            6.106368            5.247029            5.031034            8.608702           10.260804            9.499502           11.529970            9.690796            8.649824            9.750822            7.644679            8.629890            9.706289            9.755465            7.623458            7.585968            8.649467            9.722337            7.626829            0.000000
