  EEP                isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  193         3.1600000000000244E+008         2.6195091674250104E-001         2.6195041083302528E-001         3.4979484979523954E+000         4.9698365896672394E+000        -2.1683857479107629E+000         1.7000000000000001E-001            0.237491           15.010563           14.106966           12.739872           11.465169            9.847580            8.239913            7.612270            7.392915           11.386039           13.366973           12.622557           14.287055           12.979650           11.328881           13.006714           10.143520           11.328973           12.962007           13.002474           10.119785           10.027761           11.347976           12.982693           10.117604           -1.000000
  194         3.1600000000000244E+008         2.6881114934379852E-001         2.6881062729841920E-001         3.4994575128982874E+000         4.9657290739715130E+000        -2.1473786299209983E+000         1.7000000000000001E-001            0.237491           14.921146           14.018321           12.654231           11.390192            9.785408            8.191403            7.563262            7.344475           11.316904           13.279434           12.542513           14.199002           12.893038           11.262551           12.921142           10.081383           11.261907           12.876474           12.916974           10.057737            9.967501           11.280936           12.897078           10.055557           -1.000000
  195         3.1600000000000244E+008         2.7570492532714375E-001         2.7570438681185200E-001         3.5009674858157207E+000         4.9619314653573525E+000        -2.1266258733398415E+000         1.7000000000000001E-001            0.237490           14.833269           13.930948           12.569765           11.316195            9.724062            8.143534            7.514943            7.296841           11.248639           13.193226           12.463531           14.112099           12.807611           11.197048           12.836744           10.020046           11.195681           12.792118           12.832653            9.996490            9.908013           11.214736           12.812641            9.994311           -1.000000
  196         3.1600000000000244E+008         2.8175780849865756E-001         2.8175725533271023E-001         3.5022897184761335E+000         4.9590424945346312E+000        -2.1089405396496015E+000         1.7000000000000001E-001            0.237487           14.758354           13.856189           12.497427           11.252871            9.671697            8.102843            7.473774            7.256381           11.190251           13.119526           12.395916           14.038531           12.734440           11.141050           12.764469            9.967676           11.139058           12.719878           12.760447            9.944197            9.857242           11.158136           12.740334            9.942021           -1.000000
  197         3.1600000000000244E+008         2.8559943077616018E-001         2.8559886829916042E-001         3.5031236784366389E+000         4.9577666487426280E+000        -2.0985496335295077E+000         1.7000000000000001E-001            0.237482           14.713525           13.811203           12.453825           11.214895            9.640612            8.079103            7.449641            7.232744           11.155369           13.075209           12.355274           13.994364           12.690319           11.107672           12.720913            9.936584           11.105287           12.676342           12.716935            9.913153            9.827155           11.124380           12.696756            9.910978           -1.000000
  198         3.1600000000000244E+008         2.8845730766112027E-001         2.8845673814242023E-001         3.5036947975193611E+000         4.9568907338941726E+000        -2.0910256068453692E+000         1.7000000000000001E-001            0.237476           14.681940           13.779484           12.423052           11.187943            9.618340            8.061824            7.432086            7.215517           11.130510           13.043962           12.326510           13.963202           12.659193           11.083834           12.690170            9.914304           11.081182           12.645615           12.686225            9.890906            9.805558           11.100286           12.666000            9.888733           -1.000000
  199         3.1600000000000244E+008         2.9067274520722097E-001         2.9067217015647889E-001         3.5040857712793176E+000         4.9563187941591531E+000        -2.0854447878268196E+000         1.7000000000000001E-001            0.237466           14.659315           13.756742           12.400948           11.168442            9.602030            8.048921            7.418991            7.202648           11.112433           13.021550           12.305777           13.940846           12.636847           11.066454           12.668087            9.897988           11.063621           12.623541           12.664164            9.874613            9.789708           11.082731           12.643909            9.872441           -1.000000
  200         3.1600000000000244E+008         2.9283711201782492E-001         2.9283653174079061E-001         3.5044600635177821E+000         4.9560327509973003E+000        -2.0802946402815574E+000         1.7000000000000001E-001            0.237457           14.638277           13.735493           12.380245           11.150229            9.586886            8.037059            7.406943            7.190817           11.095591           13.000607           12.286390           13.919991           12.615916           11.050282           12.647408            9.882841           11.047274           12.602870           12.643507            9.859487            9.775008           11.066393           12.623221            9.857316           -1.000000
  201         3.1600000000000244E+008         2.9502344115648882E-001         2.9502285573578724E-001         3.5048349144099649E+000         4.9557923160483321E+000        -2.0751550275236492E+000         1.7000000000000001E-001            0.237448           14.617314           13.714295           12.359583           11.132050            9.571774            8.025224            7.394921            7.179009           11.078777           12.979718           12.267042           13.899188           12.595026           11.034141           12.626768            9.867723           11.030957           12.582239           12.622890            9.844390            9.760338           11.050083           12.602573            9.842220           -1.000000
  202         3.1600000000000244E+008         2.9715614212550656E-001         2.9715555195096510E-001         3.5051973871209046E+000         4.9555900530956567E+000        -2.0701850751389381E+000         1.7000000000000001E-001            0.237443           14.597095           13.693833           12.339634           11.114491            9.557170            8.013782            7.383296            7.167590           11.062534           12.959559           12.248361           13.879111           12.574857           11.018544           12.606841            9.853113           11.015192           12.562321           12.602985            9.829803            9.746161           11.034325           12.582639            9.827633            0.000000
